step,episode_reward,episode_length
118,61.180641174316406,18.0
119,52.0905876159668,17.0
120,62.97528076171875,17.0
121,57.17029571533203,17.0
122,60.122955322265625,17.0
123,62.027896881103516,17.0
124,53.46025848388672,17.0
125,51.79055404663086,17.0
126,71.87928771972656,17.0
127,53.62067794799805,16.0
128,68.43474578857422,17.0
129,68.076416015625,18.0
130,65.90681457519531,18.0
131,1015.250244140625,1000.0
132,52.43223571777344,3.0
133,60.12626266479492,2.0
134,41.9701042175293,3.0
135,51.75212097167969,3.0
136,104.40526580810547,3.0
137,59.48807144165039,3.0
138,112.08116912841797,3.0
139,52.41529846191406,3.0
140,53.966373443603516,3.0
141,45.50318908691406,3.0
142,61.97090530395508,3.0
143,22.920867919921875,3.0
144,56.12586212158203,3.0
145,112.80562591552734,3.0
146,94.6719741821289,3.0
147,69.33199310302734,3.0
148,111.0050048828125,3.0
149,121.58506774902344,3.0
150,36.9738655090332,3.0
151,30.280794143676758,3.0
152,61.99195098876953,3.0
153,182.47994995117188,3.0
154,46.18960189819336,3.0
155,52.11082077026367,3.0
156,53.272159576416016,3.0
157,49.123226165771484,3.0
158,84.46672821044922,3.0
159,63.071136474609375,3.0
160,55.41309356689453,3.0
161,37.427921295166016,3.0
162,41.17879104614258,3.0
163,53.50336456298828,3.0
164,87.4866714477539,3.0
165,55.03890609741211,3.0
166,54.90948486328125,3.0
167,65.78304290771484,3.0
168,46.522762298583984,3.0
169,65.2094497680664,3.0
170,84.32646942138672,3.0
171,57.73984909057617,3.0
172,97.37406158447266,3.0
173,60.960845947265625,3.0
174,107.83374786376953,3.0
175,67.29784393310547,3.0
176,95.0625228881836,3.0
177,56.31691360473633,3.0
178,107.30692291259766,3.0
179,83.02154541015625,3.0
180,41.766502380371094,3.0
181,15.797431945800781,3.0
182,28.058881759643555,2.0
183,57.85359573364258,3.0
184,62.13680648803711,3.0
185,60.5201301574707,3.0
186,74.8060302734375,3.0
187,151.77906799316406,3.0
188,13.798999786376953,2.0
189,176.8162384033203,3.0
190,39.928001403808594,2.0
191,35.190128326416016,3.0
192,93.57755279541016,3.0
193,31.701807022094727,3.0
194,65.88838195800781,3.0
